PERMNO,date,TICKER,RET
10026,20170131,JJSF,-0.043918
10026,20170228,JJSF,0.048836
10026,20170331,JJSF,0.016293
10026,20170428,JJSF,-0.007229
10026,20170531,JJSF,-0.033289
10026,20170630,JJSF,0.018370
10026,20170731,JJSF,-0.005073
10026,20170831,JJSF,-0.029756
10026,20170929,JJSF,0.033179
10026,20171031,JJSF,0.014242
10026,20171130,JJSF,0.134715
10026,20171229,JJSF,0.007743
10026,20180131,JJSF,-0.088191
10026,20180228,JJSF,-0.029688
10026,20180329,JJSF,0.019951
10026,20180430,JJSF,0.006224
10026,20180531,JJSF,0.030638
10026,20180629,JJSF,0.079791
10026,20180731,JJSF,-0.049256
10026,20180831,JJSF,0.003725
10026,20180928,JJSF,0.040137
10026,20181031,JJSF,0.034926
10026,20181130,JJSF,0.004547
10026,20181231,JJSF,-0.075094
10026,20190131,JJSF,0.067501
10026,20190228,JJSF,0.006025
10026,20190329,JJSF,0.026146
10026,20190430,JJSF,-0.010451
10026,20190531,JJSF,0.023349
10026,20190628,JJSF,0.003730
10026,20190731,JJSF,0.154644
10026,20190830,JJSF,0.038851
10026,20190930,JJSF,-0.002901
10026,20191031,JJSF,-0.006458
10026,20191129,JJSF,-0.030195
10026,20191231,JJSF,-0.000838
10026,20200131,JJSF,-0.100016
10026,20200228,JJSF,-0.030270
10026,20200331,JJSF,-0.244031
10026,20200430,JJSF,0.049835
10026,20200529,JJSF,0.012595
10026,20200630,JJSF,-0.007191
10026,20200731,JJSF,-0.031464
10026,20200831,JJSF,0.104118
10026,20200930,JJSF,-0.036668
10026,20201030,JJSF,0.039727
10026,20201130,JJSF,0.072435
10026,20201231,JJSF,0.072598
10026,20210129,JJSF,-0.017442
10026,20210226,JJSF,0.039958
10026,20210331,JJSF,-0.007275
10026,20210430,JJSF,0.048271
10026,20210528,JJSF,0.066642
10026,20210630,JJSF,-0.003058
10026,20210730,JJSF,-0.057508
10026,20210831,JJSF,-0.003772
10026,20210930,JJSF,-0.062940
10026,20211029,JJSF,-0.034485
10026,20211130,JJSF,-0.074348
10026,20211231,JJSF,0.161173
10032,20170131,PLXS,0.004811
10032,20170228,PLXS,0.032597
10032,20170331,PLXS,0.030854
10032,20170428,PLXS,-0.100519
10032,20170531,PLXS,-0.000192
10032,20170630,PLXS,0.011351
10032,20170731,PLXS,0.019783
10032,20170831,PLXS,-0.028539
10032,20170929,PLXS,0.076805
10032,20171031,PLXS,0.095399
10032,20171130,PLXS,0.017581
10032,20171229,PLXS,-0.028635
10032,20180131,PLXS,-0.015975
10032,20180228,PLXS,0.009540
10032,20180329,PLXS,-0.009781
10032,20180430,PLXS,-0.081868
10032,20180531,PLXS,0.060357
10032,20180629,PLXS,0.023904
10032,20180731,PLXS,-0.002015
10032,20180831,PLXS,0.065130
10032,20180928,PLXS,-0.075525
10032,20181031,PLXS,-0.001880
10032,20181130,PLXS,0.045205
10032,20181231,PLXS,-0.163172
10032,20190131,PLXS,0.098669
10032,20190228,PLXS,0.100499
10032,20190329,PLXS,-0.013115
10032,20190430,PLXS,-0.012633
10032,20190531,PLXS,-0.176969
10032,20190628,PLXS,0.178478
10032,20190731,PLXS,0.022957
10032,20190830,PLXS,-0.041869
10032,20190930,PLXS,0.092641
10032,20191031,PLXS,0.182851
10032,20191129,PLXS,0.026508
10032,20191231,PLXS,0.013702
10032,20200131,PLXS,-0.075643
10032,20200228,PLXS,-0.067070
10032,20200331,PLXS,-0.177694
10032,20200430,PLXS,0.149010
10032,20200529,PLXS,0.024406
10032,20200630,PLXS,0.098723
10032,20200731,PLXS,0.052863
10032,20200831,PLXS,0.023960
10032,20200930,PLXS,-0.071513
10032,20201030,PLXS,-0.015432
10032,20201130,PLXS,0.074346
10032,20201231,PLXS,0.046848
10032,20210129,PLXS,-0.016494
10032,20210226,PLXS,0.091784
10032,20210331,PLXS,0.093594
10032,20210430,PLXS,0.006533
10032,20210528,PLXS,0.068910
10032,20210630,PLXS,-0.074891
10032,20210730,PLXS,-0.011924
10032,20210831,PLXS,0.016718
10032,20210930,PLXS,-0.026353
10032,20211029,PLXS,-0.023376
10032,20211130,PLXS,-0.036418
10032,20211231,PLXS,0.139648
10104,20170131,ORCL,0.047074
10104,20170228,ORCL,0.061830
10104,20170331,ORCL,0.047429
10104,20170428,ORCL,0.012105
10104,20170531,ORCL,0.009564
10104,20170630,ORCL,0.104649
10104,20170731,ORCL,-0.000399
10104,20170831,ORCL,0.008011
10104,20170929,ORCL,-0.039340
10104,20171031,ORCL,0.056670
10104,20171130,ORCL,-0.036149
10104,20171229,ORCL,-0.036282
10104,20180131,ORCL,0.095178
10104,20180228,ORCL,-0.017833
10104,20180329,ORCL,-0.097099
10104,20180430,ORCL,0.002404
10104,20180531,ORCL,0.022991
10104,20180629,ORCL,-0.056935
10104,20180731,ORCL,0.086473
10104,20180831,ORCL,0.018876
10104,20180928,ORCL,0.061342
10104,20181031,ORCL,-0.049069
10104,20181130,ORCL,-0.001638
10104,20181231,ORCL,-0.074036
10104,20190131,ORCL,0.116722
10104,20190228,ORCL,0.037826
10104,20190329,ORCL,0.030309
10104,20190430,ORCL,0.034630
10104,20190531,ORCL,-0.085487
10104,20190628,ORCL,0.125889
10104,20190731,ORCL,-0.007548
10104,20190830,ORCL,-0.075311
10104,20190930,ORCL,0.057050
10104,20191031,ORCL,-0.005452
10104,20191129,ORCL,0.030281
10104,20191231,ORCL,-0.056288
10104,20200131,ORCL,-0.005474
10104,20200228,ORCL,-0.057007
10104,20200331,ORCL,-0.022847
10104,20200430,ORCL,0.100972
10104,20200529,ORCL,0.015103
10104,20200630,ORCL,0.027897
10104,20200731,ORCL,0.007599
10104,20200831,ORCL,0.031921
10104,20200930,ORCL,0.043341
10104,20201030,ORCL,-0.056114
10104,20201130,ORCL,0.028694
10104,20201231,ORCL,0.120755
10104,20210129,ORCL,-0.062143
10104,20210226,ORCL,0.067516
10104,20210331,ORCL,0.087738
10104,20210430,ORCL,0.084652
10104,20210528,ORCL,0.038923
10104,20210630,ORCL,-0.011430
10104,20210730,ORCL,0.123587
10104,20210831,ORCL,0.022837
10104,20210930,ORCL,-0.022439
10104,20211029,ORCL,0.104786
10104,20211130,ORCL,-0.054201
10104,20211231,ORCL,-0.038902
10107,20170131,MSFT,0.040393
10107,20170228,MSFT,-0.004331
10107,20170331,MSFT,0.029384
10107,20170428,MSFT,0.039478
10107,20170531,MSFT,0.025854
10107,20170630,MSFT,-0.013030
10107,20170731,MSFT,0.054693
10107,20170831,MSFT,0.033838
10107,20170929,MSFT,-0.003745
10107,20171031,MSFT,0.116660
10107,20171130,MSFT,0.016951
10107,20171229,MSFT,0.016277
10107,20180131,MSFT,0.110708
10107,20180228,MSFT,-0.008631
10107,20180329,MSFT,-0.026661
10107,20180430,MSFT,0.024652
10107,20180531,MSFT,0.061377
10107,20180629,MSFT,-0.002327
10107,20180731,MSFT,0.075753
10107,20180831,MSFT,0.062877
10107,20180928,MSFT,0.018161
10107,20181031,MSFT,-0.066101
10107,20181130,MSFT,0.042505
10107,20181231,MSFT,-0.084047
10107,20190131,MSFT,0.028158
10107,20190228,MSFT,0.077181
10107,20190329,MSFT,0.052754
10107,20190430,MSFT,0.107343
10107,20190531,MSFT,-0.049464
10107,20190628,MSFT,0.083118
10107,20190731,MSFT,0.017244
10107,20190830,MSFT,0.015044
10107,20190930,MSFT,0.008487
10107,20191031,MSFT,0.031216
10107,20191129,MSFT,0.059427
10107,20191231,MSFT,0.041749
10107,20200131,MSFT,0.079455
10107,20200228,MSFT,-0.045292
10107,20200331,MSFT,-0.026541
10107,20200430,MSFT,0.136326
10107,20200529,MSFT,0.025389
10107,20200630,MSFT,0.110559
10107,20200731,MSFT,0.007371
10107,20200831,MSFT,0.102580
10107,20200930,MSFT,-0.067397
10107,20201030,MSFT,-0.037370
10107,20201130,MSFT,0.060058
10107,20201231,MSFT,0.039006
10107,20210129,MSFT,0.042892
10107,20210226,MSFT,0.004225
10107,20210331,MSFT,0.014588
10107,20210430,MSFT,0.069602
10107,20210528,MSFT,-0.007693
10107,20210630,MSFT,0.084989
10107,20210730,MSFT,0.051717
10107,20210831,MSFT,0.061528
10107,20210930,MSFT,-0.066119
10107,20211029,MSFT,0.176291
10107,20211130,MSFT,-0.001236
10107,20211231,MSFT,0.017333
10138,20170131,TROW,-0.103906
10138,20170228,TROW,0.055901
10138,20170331,TROW,-0.034967
10138,20170428,TROW,0.040205
10138,20170531,TROW,-0.006348
10138,20170630,TROW,0.061613
10138,20170731,TROW,0.114675
10138,20170831,TROW,0.019826
10138,20170929,TROW,0.081318
10138,20171031,TROW,0.024821
10138,20171130,TROW,0.107858
10138,20171229,TROW,0.025068
10138,20180131,TROW,0.063852
10138,20180228,TROW,0.002419
10138,20180329,TROW,-0.028865
10138,20180430,TROW,0.054182
10138,20180531,TROW,0.066772
10138,20180629,TROW,-0.038132
10138,20180731,TROW,0.025756
10138,20180831,TROW,-0.026789
10138,20180928,TROW,-0.051860
10138,20181031,TROW,-0.111651
10138,20181130,TROW,0.024436
10138,20181231,TROW,-0.063808
10138,20190131,TROW,0.012348
10138,20190228,TROW,0.074577
10138,20190329,TROW,0.004481
10138,20190430,TROW,0.073712
10138,20190531,TROW,-0.059163
10138,20190628,TROW,0.092248
10138,20190731,TROW,0.033543
10138,20190830,TROW,-0.024429
10138,20190930,TROW,0.039685
10138,20191031,TROW,0.013567
10138,20191129,TROW,0.067012
10138,20191231,TROW,-0.007770
10138,20200131,TROW,0.095946
10138,20200228,TROW,-0.116229
10138,20200331,TROW,-0.164901
10138,20200430,TROW,0.184127
10138,20200529,TROW,0.045576
10138,20200630,TROW,0.028950
10138,20200731,TROW,0.118219
10138,20200831,TROW,0.008038
10138,20200930,TROW,-0.072480
10138,20201030,TROW,-0.012167
10138,20201130,TROW,0.132244
10138,20201231,TROW,0.061920
10138,20210129,TROW,0.033622
10138,20210226,TROW,0.036171
10138,20210331,TROW,0.065006
10138,20210430,TROW,0.044289
10138,20210528,TROW,0.067801
10138,20210630,TROW,0.055918
10138,20210730,TROW,0.031267
10138,20210831,TROW,0.096542
10138,20210930,TROW,-0.116541
10138,20211029,TROW,0.102593
10138,20211130,TROW,-0.078062
10138,20211231,TROW,-0.011153
10145,20170131,HON,0.021321
10145,20170228,HON,0.057852
10145,20170331,HON,0.002972
10145,20170428,HON,0.050212
10145,20170531,HON,0.019178
10145,20170630,HON,0.002256
10145,20170731,HON,0.021232
10145,20170831,HON,0.020680
10145,20170929,HON,0.025096
10145,20171031,HON,0.017074
10145,20171130,HON,0.087021
10145,20171229,HON,-0.016671
10145,20180131,HON,0.041145
10145,20180228,HON,-0.048945
10145,20180329,HON,-0.043677
10145,20180430,HON,0.001176
10145,20180531,HON,0.027475
10145,20180629,HON,-0.026097
10145,20180731,HON,0.108296
10145,20180831,HON,0.000971
10145,20180928,HON,0.046146
10145,20181031,HON,-0.093229
10145,20181130,HON,0.018989
10145,20181231,HON,-0.099693
10145,20190131,HON,0.087118
10145,20190228,HON,0.078396
10145,20190329,HON,0.031479
10145,20190430,HON,0.092562
10145,20190531,HON,-0.048955
10145,20190628,HON,0.062565
10145,20190731,HON,-0.012200
10145,20190830,HON,-0.040705
10145,20190930,HON,0.027822
10145,20191031,HON,0.020863
10145,20191129,HON,0.038905
10145,20191231,HON,-0.008681
10145,20200131,HON,-0.021356
10145,20200228,HON,-0.058596
10145,20200331,HON,-0.175002
10145,20200430,HON,0.060617
10145,20200529,HON,0.034179
10145,20200630,HON,-0.008639
10145,20200731,HON,0.033059
10145,20200831,HON,0.114347
10145,20200930,HON,-0.005678
10145,20201030,HON,0.002065
10145,20201130,HON,0.241891
10145,20201231,HON,0.043056
10145,20210129,HON,-0.081476
10145,20210226,HON,0.040487
10145,20210331,HON,0.072745
10145,20210430,HON,0.027503
10145,20210528,HON,0.039455
10145,20210630,HON,-0.050063
10145,20210730,HON,0.065831
10145,20210831,HON,-0.004063
10145,20210930,HON,-0.084645
10145,20211029,HON,0.029866
10145,20211130,HON,-0.070442
10145,20211231,HON,0.031003
10158,20170131,AMRC,-0.054545
10158,20170228,AMRC,-0.028846
10158,20170331,AMRC,0.297030
10158,20170428,AMRC,-0.015267
10158,20170531,AMRC,0.069767
10158,20170630,AMRC,0.115942
10158,20170731,AMRC,-0.149351
10158,20170831,AMRC,0.106870
10158,20170929,AMRC,0.075862
10158,20171031,AMRC,-0.012821
10158,20171130,AMRC,0.103896
10158,20171229,AMRC,0.011765
10158,20180131,AMRC,0.011628
10158,20180228,AMRC,-0.063218
10158,20180329,AMRC,0.595092
10158,20180430,AMRC,-0.088462
10158,20180531,AMRC,0.008439
10158,20180629,AMRC,0.004184
10158,20180731,AMRC,0.116667
10158,20180831,AMRC,0.070896
10158,20180928,AMRC,-0.048781
10158,20181031,AMRC,0.199267
10158,20181130,AMRC,-0.039707
10158,20181231,AMRC,-0.103053
10158,20190131,AMRC,0.058865
10158,20190228,AMRC,0.096450
10158,20190329,AMRC,-0.011607
10158,20190430,AMRC,-0.069221
10158,20190531,AMRC,-0.037185
10158,20190628,AMRC,0.015862
10158,20190731,AMRC,-0.032587
10158,20190830,AMRC,0.010526
10158,20190930,AMRC,0.115972
10158,20191031,AMRC,-0.082763
10158,20191129,AMRC,0.109227
10158,20191231,AMRC,0.070336
10158,20200131,AMRC,0.096571
10158,20200228,AMRC,0.174570
10158,20200331,AMRC,-0.244454
10158,20200430,AMRC,0.060481
10158,20200529,AMRC,0.188261
10158,20200630,AMRC,0.294501
10158,20200731,AMRC,-0.003600
10158,20200831,AMRC,0.233381
10158,20200930,AMRC,-0.021675
10158,20201030,AMRC,0.149401
10158,20201130,AMRC,0.160458
10158,20201231,AMRC,0.172615
10158,20210129,AMRC,0.073698
10158,20210226,AMRC,0.018363
10158,20210331,AMRC,-0.148634
10158,20210430,AMRC,0.085544
10158,20210528,AMRC,0.018375
10158,20210630,AMRC,0.166667
10158,20210730,AMRC,0.092634
10158,20210831,AMRC,0.009047
10158,20210930,AMRC,-0.155025
10158,20211029,AMRC,0.405614
10158,20211130,AMRC,0.099842
10158,20211231,AMRC,-0.098417
10200,20170131,RGEN,-0.025308
10200,20170228,RGEN,0.048935
10200,20170331,RGEN,0.117106
10200,20170428,RGEN,0.045170
10200,20170531,RGEN,0.066594
10200,20170630,RGEN,0.056065
10200,20170731,RGEN,-0.028234
10200,20170831,RGEN,0.084430
10200,20170929,RGEN,-0.122510
10200,20171031,RGEN,-0.029228
10200,20171130,RGEN,-0.047043
10200,20171229,RGEN,0.023413
10200,20180131,RGEN,-0.025083
10200,20180228,RGEN,-0.030534
10200,20180329,RGEN,0.055118
10200,20180430,RGEN,0.022664
10200,20180531,RGEN,0.180541
10200,20180629,RGEN,0.076923
10200,20180731,RGEN,0.027423
10200,20180831,RGEN,0.135527
10200,20180928,RGEN,0.010568
10200,20181031,RGEN,-0.022358
10200,20181130,RGEN,0.192733
10200,20181231,RGEN,-0.184475
10200,20190131,RGEN,0.080963
10200,20190228,RGEN,0.044027
10200,20190329,RGEN,-0.007392
10200,20190430,RGEN,0.140487
10200,20190531,RGEN,0.031018
10200,20190628,RGEN,0.237225
10200,20190731,RGEN,0.098197
10200,20190830,RGEN,-0.016739
10200,20190930,RGEN,-0.173688
10200,20191031,RGEN,0.036511
10200,20191129,RGEN,0.116493
10200,20191231,RGEN,0.042254
10200,20200131,RGEN,0.085297
10200,20200228,RGEN,-0.147325
10200,20200331,RGEN,0.127804
10200,20200430,RGEN,0.203128
10200,20200529,RGEN,0.127594
10200,20200630,RGEN,-0.056196
10200,20200731,RGEN,0.220856
10200,20200831,RGEN,0.026506
10200,20200930,RGEN,-0.047576
10200,20201030,RGEN,0.128982
10200,20201130,RGEN,0.138680
10200,20201231,RGEN,0.010334
10200,20210129,RGEN,0.043678
10200,20210226,RGEN,0.061950
10200,20210331,RGEN,-0.084656
10200,20210430,RGEN,0.088987
10200,20210528,RGEN,-0.137452
10200,20210630,RGEN,0.093149
10200,20210730,RGEN,0.230839
10200,20210831,RGEN,0.151730
10200,20210930,RGEN,0.021238
10200,20211029,RGEN,0.005225
10200,20211130,RGEN,-0.013769
10200,20211231,RGEN,-0.075602
10220,20170131,BWXT,0.045088
10220,20170228,BWXT,0.119306
10220,20170331,BWXT,0.026916
10220,20170428,BWXT,0.032983
10220,20170531,BWXT,-0.009355
10220,20170630,BWXT,0.003086
10220,20170731,BWXT,0.080615
10220,20170831,BWXT,0.040812
10220,20170929,BWXT,0.023757
10220,20171031,BWXT,0.069618
10220,20171130,BWXT,0.044059
10220,20171229,BWXT,-0.031385
10220,20180131,BWXT,0.048768
10220,20180228,BWXT,-0.007566
10220,20180329,BWXT,0.011595
10220,20180430,BWXT,0.067212
10220,20180531,BWXT,-0.013274
10220,20180629,BWXT,-0.066227
10220,20180731,BWXT,0.055199
10220,20180831,BWXT,-0.065085
10220,20180928,BWXT,0.019896
10220,20181031,BWXT,-0.065238
10220,20181130,BWXT,-0.223743
10220,20181231,BWXT,-0.154578
10220,20190131,BWXT,0.214230
10220,20190228,BWXT,0.127747
10220,20190329,BWXT,-0.049666
10220,20190430,BWXT,0.030657
10220,20190531,BWXT,-0.085910
10220,20190628,BWXT,0.119467
